7|{"tag":"Jacques_Chirac"}
7|{"tag":"Slovenia"}
7|{"tag":"Al_Gore"}
7|{"tag":"W._B._Yeats"}
7|{"tag":"Nicolas_Sarkozy"}
7|{"tag":"Niccolò_Machiavelli"}
7|{"tag":"Barbra_Streisand"}
7|{"tag":"Luxembourg"}
7|{"tag":"Mohammad_Reza_Pahlavi"}
7|{"tag":"Cambodia"}
7|{"tag":"Richard_Strauss"}
7|{"tag":"John_the_Baptist"}
7|{"tag":"Joni_Mitchell"}
7|{"tag":"Alfred_Hitchcock"}
7|{"tag":"Michelangelo"}
7|{"tag":"Czechoslovakia"}
7|{"tag":"Henry_II_of_England "}
7|{"tag":"Thailand"}
7|{"tag":"Robert_Louis_Stevenson"}
7|{"tag":"Republic_of_Ireland"}
7|{"tag":"Leon_Trotsky"}
7|{"tag":"Bertolt_Brecht"}
7|{"tag":"Vladimir_Nabokov"}
7|{"tag":"Galileo_Galilei"}
7|{"tag":"Jamaica"}
7|{"tag":"Dominican_Republic"}
7|{"tag":"Jane_Austen"}
7|{"tag":"Isaac_Asimov"}
7|{"tag":"Bing_Crosby"}
7|{"tag":"Fyodor_Dostoyevsky"}
